sept_paystat,AGE,LIMIT_BAL,sept_bill,aug_bill,sept_payment,july_bill,june_bill,aug_payment,april_bill,may_bill,april_payment,y_actual
2,29,160000,160432,163916,7500,159676,166893,0,153800,170098,5654,1
-2,52,200000,3858,2690,2690,3410,0,3487,82150,0,396,0
0,25,120000,26476,21393,6000,0,0,0,0,0,0,0
1,37,500000,507062,491956,325,430637,376657,15296,303510,356636,10526,0
0,27,320000,55607,62893,11404,59001,61565,8232,66541,59508,11341,0
0,31,280000,168382,175646,10000,180650,182672,8000,167983,168399,6288,0
1,23,60000,29332,28577,0,30805,31601,2709,32965,32349,1200,1
-1,38,200000,190,0,0,0,367,0,-150,-150,0,0
1,32,230000,0,0,0,2809,4595,2809,3404,792,0,0
1,27,230000,13668,12647,0,13135,10596,1064,5068,9218,4641,1
-2,41,480000,14867,26665,26734,199960,9033,199982,22593,19371,2000,0
-1,35,50000,22500,5000,5000,0,0,0,0,0,640,0
-2,31,200000,7184,14845,17507,1097,0,1102,160,0,1103,0
0,30,50000,14811,16262,2000,17286,17895,1600,18990,19450,1000,0
0,48,50000,44338,43048,3629,35639,18753,3332,19548,19091,2500,0
1,36,260000,0,0,0,0,0,0,0,0,0,1
2,24,30000,25265,26354,1500,27710,27959,1800,29371,30002,1800,0
0,29,440000,169661,167199,8071,158520,156977,9021,151936,157963,6010,0
-1,38,230000,10237,2795,2795,1350,371,1350,0,2980,2213,0
2,38,200000,104978,105924,4500,102663,97090,0,105253,98045,0,1
0,30,490000,192586,197967,10000,201666,205798,7143,190306,196698,6000,0
-1,32,80000,11262,0,0,0,0,0,0,0,0,0
2,49,20000,9551,12081,3000,13087,12583,1500,16414,15327,1000,1
-1,31,170000,199,199,199,199,398,199,199,199,398,1
0,27,70000,70119,68536,3600,66601,29401,1646,29795,28949,1000,0
0,33,210000,212601,177946,6000,119362,117766,4500,66167,68791,3000,0
0,25,90000,91894,71732,3200,73241,74424,3300,77648,76070,3100,0
0,27,390000,304867,299998,13007,300426,292869,10612,281826,292885,7000,1
0,29,110000,48123,49537,2500,50422,50990,2500,53206,52014,2500,0
0,36,580000,159760,162189,6422,166127,169365,6565,167964,168755,5946,0
0,55,360000,9210,8485,6015,17231,1770,17454,0,0,0,0
1,32,270000,234752,233036,10000,229286,217644,8000,221413,223690,0,1
-1,27,60000,14072,0,0,0,300,0,150,150,200,0
0,37,110000,61807,62499,2300,62162,60605,2200,60145,60272,2300,0
0,25,50000,51044,50231,2500,46677,44982,3008,20859,21399,704,0
0,23,80000,77024,73281,3212,57806,37642,1600,47110,46235,1700,1
-1,23,50000,350,350,350,400,1695,400,12584,12645,2400,0
0,32,100000,83831,85586,4000,87289,91451,4037,89522,93381,3200,0
1,26,30000,0,0,0,945,0,945,2995,197,0,0
0,27,200000,122923,124653,5704,126355,114881,5930,124793,117213,4400,0
0,44,240000,246135,231443,12026,234557,200643,9010,198857,194410,7000,1
0,34,220000,37304,33304,1600,29254,24875,1500,15602,20329,500,0
0,28,160000,146433,107604,4500,89902,90983,4400,83988,82255,2500,0
-1,53,180000,46122,1260,1260,29366,5400,29366,1599,0,0,0
0,42,200000,38564,38246,5000,32253,30384,1485,0,30900,2102,0
0,30,140000,96304,98007,4505,82227,65000,12906,58880,60848,5200,0
1,51,380000,0,0,0,0,0,0,0,0,0,1
2,53,600000,467150,458862,0,469703,447130,18000,434715,440982,20000,1
0,37,260000,255691,262736,14000,36638,122388,5022,131074,127402,6000,0
0,26,200000,156786,179,179,1443,1443,1443,871,1443,2015,0
0,42,80000,78129,28202,2500,78553,49340,51432,48443,48919,1700,0
0,39,40000,40034,36549,2027,17431,15031,1207,5315,10600,4987,0
1,39,130000,71034,69329,0,74175,72383,6000,75820,77217,6000,0
-1,32,50000,23974,24131,1800,25326,25775,1900,0,0,0,0
-1,41,230000,819,18163,18163,5473,8162,5654,9130,6985,6554,0
0,48,70000,50927,39883,2100,32017,17630,1217,6400,9730,4590,1
0,38,180000,152510,151651,5657,159019,123022,10372,126219,126075,5000,0
-1,36,80000,1689,8638,8638,5702,2980,5723,7868,1260,2198,0
0,26,290000,20807,99860,80000,100000,3015,3000,1448,23473,4900,0
0,28,230000,30141,131255,120093,110503,99283,8034,96116,97599,3000,0
1,56,170000,0,0,0,1991,0,1991,150,0,614,0
-1,59,230000,208459,206331,7536,203813,201331,7277,191671,198999,6945,1
0,38,220000,212795,211043,8909,212759,218541,7500,165300,167743,7009,1
0,32,230000,28114,28006,1610,25000,22046,1224,19831,19860,500,0
0,38,500000,59372,49677,10026,49515,42568,7241,51481,48268,2132,0
-1,41,90000,6160,3274,3276,6190,307,6246,670,2870,1362,0
0,35,390000,355215,363325,13802,373181,252195,16525,263018,257496,9435,1
0,41,400000,366193,372700,14020,375948,195991,13595,155182,152127,6012,0
-1,34,180000,2927,2790,2790,1140,2144,1140,1382,1180,2440,0
1,38,60000,29295,30321,1800,31018,32193,1500,35002,34213,0,0
-1,32,120000,4158,2682,2682,0,6440,0,5930,0,5120,0
0,29,60000,27199,28358,1900,28937,29614,1400,23159,30391,420,0
0,44,50000,50893,28527,1800,29241,28513,1500,29638,29106,1000,0
0,37,70000,66759,68200,2518,72972,71248,5950,50809,50610,2700,0
-1,38,500000,600,300,0,501,300,501,450,600,600,0
-2,31,200000,0,0,0,0,0,0,0,0,0,0
0,40,250000,44930,137101,120041,90801,0,4435,919,1069,67619,0
0,26,140000,131367,146193,17000,140202,144035,0,130271,140419,5400,1
0,28,70000,41264,41799,2112,37887,37876,1200,4162,6736,0,0
1,48,90000,77604,73317,1700,71334,67009,4000,59378,63228,4086,0
-1,43,100000,2491,1709,1709,574,556,574,2562,2306,2111,0
0,31,190000,177554,180633,7600,172914,130139,6303,117465,115494,3517,0
-1,42,230000,6865,15111,15111,13165,0,13165,6992,10500,0,0
0,39,320000,93768,91523,3317,91579,91193,3506,95323,92837,938,0
-1,36,220000,396,1648,1648,792,396,792,396,396,792,1
-1,34,260000,16426,6088,6277,4663,3885,4663,2514,4414,7725,0
-2,32,90000,573,0,157,0,0,0,0,0,0,0
2,43,30000,28703,26622,1300,24022,24368,2,19633,20859,800,0
0,30,260000,98560,100980,4000,222102,108724,11900,69174,68500,2003,0
0,28,170000,28304,17616,4000,308,0,308,0,0,0,0
0,28,80000,8574,9434,1203,10038,10040,1047,10490,10400,276,1
-1,41,50000,508,672,1000,226,390,390,320,220,1000,0
0,47,200000,203183,202961,7521,194449,196814,7000,198717,200526,7100,0
0,23,20000,16440,20417,7403,18333,18848,0,19664,30190,104,0
-1,49,250000,66,0,0,0,120,0,1639,-6,0,0
0,38,20000,15912,17272,1623,20565,20705,3916,19933,20255,850,0
0,38,30000,20344,21705,2000,22537,24161,1500,24576,25128,1200,0
1,35,90000,23132,22474,0,28067,27320,6000,30548,31199,2000,0
0,46,230000,221590,227397,10000,230302,186635,9000,193351,189896,7000,0
0,33,130000,19161,20544,2000,22704,22304,3000,0,22304,0,1
-2,53,30000,0,0,0,0,0,0,0,0,0,0
-1,35,160000,396,396,396,396,0,396,1220,792,0,0
-1,43,500000,3959,0,0,285138,249445,285138,200,222831,528666,0
0,28,180000,42238,38741,2500,36696,35813,2000,34661,37893,2000,0
0,30,80000,21507,13207,1700,13997,10914,1400,5515,10685,500,0
-1,26,120000,884,0,0,0,10446,0,0,0,0,0
-1,31,130000,1261,1261,1261,1261,1411,1261,390,930,780,0
-1,35,120000,240,240,240,240,240,240,240,240,240,1
-1,28,360000,20223,52962,53228,3978,1743,3997,50537,2828,3219,0
2,23,50000,29509,30741,2000,31438,31924,1500,33081,32566,1500,1
0,23,20000,18355,20259,2900,19534,16467,10,13246,15746,4,0
0,56,100000,94265,53376,2385,85787,78762,88678,80335,79529,732,0
0,32,70000,68739,67629,3060,69188,68392,3300,71284,69884,5500,0
0,47,50000,13917,16695,3000,21320,18614,5000,19439,19003,500,0
1,22,10000,10250,8558,0,10525,10050,2126,9984,9903,1287,0
0,34,290000,93844,97708,6000,103066,104864,7000,115297,110151,7000,0
0,31,30000,16496,17522,1597,18531,18744,1606,19818,19291,1623,0
1,27,410000,-58,32991,33049,36465,44310,16000,61420,62408,5350,0
-1,28,360000,1210,820,390,64644,125984,75720,125557,106584,167000,1
0,42,140000,111496,112133,6022,69529,70804,3021,66735,70781,5000,1
0,32,210000,67374,69489,3200,70937,71761,3200,74827,73505,3000,0
-1,27,220000,1692,13250,13250,433,1831,433,2891,0,153504,0
1,27,20000,18649,18066,0,19040,19446,1594,20241,20759,300,0
2,45,620000,160837,156839,0,160440,163781,6200,170894,167159,6000,1
1,26,360000,-8,-8,0,-8,-8,0,2600,1677,0,0
-1,21,20000,18763,14410,14410,13771,362,0,0,5308,0,0
0,23,50000,34549,18552,2836,19334,18165,1200,19575,19322,1000,0
0,30,50000,97538,49187,2454,17518,17710,1588,18302,18079,637,0
0,46,10000,4073,6394,2400,6143,6908,0,6785,6652,251,1
2,50,100000,53849,55030,2050,61574,62470,7500,62524,61198,2500,1
-2,26,50000,2411,3059,3068,2333,1800,2440,0,1620,0,0
-1,25,60000,480,1675,1675,3630,578,2500,6200,4825,2435,0
0,35,440000,330759,337794,13100,274075,252584,11000,179221,216547,5500,0
0,44,120000,92007,87939,5417,82094,59105,2847,46775,53442,0,0
0,52,50000,3257,4166,1000,0,0,0,0,318,0,0
1,40,110000,92638,90905,600,95768,97004,7300,101213,99005,3800,0
-1,38,200000,399,0,0,0,0,0,270,218,317,0
1,28,150000,0,0,0,0,0,0,318,0,0,0
2,36,30000,28778,28039,0,28286,27533,1000,28805,28189,1500,1
0,24,100000,30092,30486,1553,30178,29735,5000,29427,14718,330,0
-1,34,360000,12339,10138,10000,23912,9785,13912,2142,166,4230,0
0,31,390000,50620,43220,5000,44237,46495,3000,51941,47751,5000,0
1,41,220000,-65,-65,0,-65,-65,0,-200,-65,0,1
-2,25,160000,0,0,0,0,0,0,0,0,0,0
-1,28,230000,2403,7357,7357,9752,12608,2566,20539,10797,2000,0
0,27,120000,52437,50473,5024,45087,35424,5000,31214,31760,3500,0
0,52,100000,4657,6068,1500,6418,6781,1000,7638,6144,2000,1
-1,41,190000,28204,0,0,16500,0,16500,554,26854,0,1
0,56,50000,50715,51073,2500,28185,28842,1500,29977,30399,1017,1
1,42,240000,0,6370,6370,0,0,0,0,0,0,0
-2,24,40000,35285,36714,2000,37356,38184,1600,37255,38724,1751,0
0,47,630000,37850,68187,38187,1207,2632,1207,0,8654,4981,0
-2,33,160000,5233,5393,5401,1824,350,1829,199,150,1145,0
0,32,110000,65299,74565,11000,78516,79829,5800,83206,81603,3000,0
0,29,20000,17208,18419,2055,0,0,0,0,0,0,0
0,53,210000,57192,58472,2800,59658,60466,2753,65163,61593,0,0
-1,34,270000,5780,12006,12006,15736,6621,5736,14923,2457,1712,0
-2,52,360000,640,2113,2231,-6,999,0,-3,944,789,0
-1,42,60000,631,2790,2790,1758,416,1758,3640,416,730,0
-1,38,360000,108351,111201,8005,63146,63723,8004,66078,65108,105700,0
2,45,390000,834,155,1,-1690,4240,1693,2698,3346,3,0
-2,35,250000,7244,8472,8514,1738,6706,1751,11082,2391,13407,0
0,24,90000,13141,14526,1600,15482,18219,1500,23387,22737,764,1
-1,28,360000,7071,401,1510,3545,10540,3575,6220,10132,16071,0
0,26,50000,35429,30626,1537,30241,20284,1947,19567,19166,683,0
0,40,270000,18751,5706,1000,0,0,0,0,0,0,0
1,29,200000,55788,8360,8394,4897,5065,4927,0,19468,125,0
0,23,50000,49809,50364,2040,38429,18815,2766,19013,18305,1000,0
-1,33,350000,10900,10478,10530,-22,-22,0,4532,-22,0,0
-2,60,160000,3128,5156,5156,1089,489,1089,1009,3177,0,1
-1,49,80000,3367,4641,4641,2290,1459,2290,7601,6764,7990,0
2,53,290000,279610,282024,13000,282508,284660,10200,238266,255892,8546,1
-1,28,270000,475,475,475,5691,37526,5691,48888,50565,15000,0
-1,31,80000,5994,32223,13647,8308,4082,8314,4085,538,0,0
0,36,50000,5197,6015,1300,6615,7131,1100,6980,6987,1000,0
-2,35,30000,7797,2687,2687,8762,3377,8765,0,2000,0,0
1,28,30000,0,780,780,0,0,0,0,0,0,1
-1,33,90000,35785,29155,15155,27485,29266,5485,38449,35598,6537,0
-1,26,160000,1433,3746,3757,30258,1036,30348,9528,21572,6066,0
0,53,80000,77766,77954,4000,78512,60452,2374,54022,61556,2000,0
0,42,50000,50300,50898,2200,49111,48943,1600,0,45775,0,0
0,25,20000,14603,15661,1600,16394,16723,1300,17618,18056,800,0
1,43,220000,0,0,0,0,0,0,0,0,0,1
-1,25,210000,8817,23634,23776,21776,9631,0,1990,1561,7967,1
0,29,130000,131575,130931,6700,132969,45584,6000,47455,46516,1365,0
-1,31,260000,5841,23194,23194,62361,67057,50000,18659,17024,38923,0
0,30,230000,30341,25981,5000,24092,65840,5000,51522,56538,10000,0
0,34,160000,83255,83912,4000,85161,85715,3924,87526,86773,3013,0
0,35,50000,34976,6018,1127,13930,7106,1074,9011,6020,172,0
0,32,80000,48747,45955,2145,44989,41358,1844,38052,42379,5002,0
0,46,110000,56700,57875,2681,59044,59756,2724,62213,61004,2454,0
0,43,200000,144678,140804,5090,136437,135253,5014,134309,134629,4902,0
0,29,360000,268112,263368,9429,259969,255832,8738,250244,245462,7300,0
1,31,210000,0,0,0,0,0,0,0,0,0,0
2,24,80000,79243,75254,3249,58683,58886,3000,57264,60035,2200,0
-1,36,300000,-475,5191,10000,4606,2303,0,65373,2768,10780,1
0,43,310000,23396,24182,1426,25135,25095,1379,25514,25356,807,0
-1,59,30000,390,390,390,390,390,390,1320,390,0,1
0,53,170000,17862,17927,1323,18800,17647,1196,12930,18015,361,0
2,28,140000,26450,28823,3007,28171,28740,0,29930,30454,3000,0
1,31,180000,0,0,0,0,0,0,0,0,1576,0
1,34,50000,22746,22099,0,24121,23437,2700,24549,25101,1030,0
0,36,50000,9214,10359,1351,7350,7500,1500,0,0,0,0
0,24,110000,40882,35428,2000,39680,44097,5000,33189,42543,3000,0
-2,36,450000,3996,9120,9120,8528,0,8528,3000,6368,3238,0
-1,34,200000,390,390,390,390,561,390,390,390,390,0
0,43,220000,44177,25736,1006,19292,18900,32906,33150,13580,0,0
0,29,360000,3280,0,0,0,0,0,2650,0,0,1
0,37,50000,48226,48727,2000,46228,46755,1684,44573,43686,2000,0
2,23,40000,36650,29541,0,26190,26710,1435,29551,27274,0,0
1,37,190000,115049,117856,6000,119570,116284,5000,125478,123528,5000,0
0,33,150000,21724,23168,2100,23320,24085,1200,3323,24149,8399,0
1,37,200000,0,0,0,0,0,0,0,595,2370,0
0,56,270000,137807,123769,5000,104377,106651,5000,101151,109294,3900,0
0,25,60000,58839,53235,2018,38533,39639,1900,39140,39619,2000,0
0,39,200000,80833,79100,3315,70764,71629,3088,70718,70805,2620,0
0,39,150000,36146,36184,3000,37511,33080,3000,31561,30223,2000,0
-1,28,180000,340,-120,0,420,460,1000,610,460,460,0
0,27,90000,7624,0,0,0,0,0,0,0,0,0
1,37,360000,0,0,0,0,0,0,541,166,4268,0
-1,24,90000,491,0,0,0,0,0,0,0,0,0
0,24,20000,13168,13888,1237,14900,15916,1249,15829,15519,1327,0
0,46,70000,60040,55274,2600,51766,51757,1800,49946,50013,1800,0
-1,39,230000,660,660,660,660,660,660,660,660,660,0
0,48,30000,29434,28960,1465,29022,29201,2000,29693,29553,530,0
-1,45,200000,4430,7182,7193,3855,3411,3855,9921,6788,5016,0
-1,49,100000,1440,0,0,0,0,0,0,0,0,0
0,23,50000,26795,28056,2000,29284,30487,2000,33138,33831,2000,0
0,25,20000,16591,16442,1155,6401,4300,1000,0,1304,0,0
-2,47,210000,0,0,0,0,0,0,0,0,0,0
0,56,110000,46486,35758,4086,34323,30452,1428,23468,22628,4976,0
-1,44,20000,550,228,228,0,228,0,0,0,0,0
0,49,50000,5630,6629,1107,5918,6918,1000,4756,6941,0,0
0,41,50000,21986,21520,1362,20979,19894,1294,18805,18811,618,0
-1,40,400000,60125,1981,1981,4521,20472,4521,173599,76933,7700,0
0,31,170000,56364,58132,3000,59171,55888,3000,51461,53672,3000,0
0,42,280000,148363,148432,6900,151310,141937,6867,147911,144990,5600,0
0,28,130000,100143,50456,2500,50000,0,1000,0,0,0,0
0,32,210000,46255,50486,5000,54019,58091,5000,65576,61630,5000,0
0,28,370000,276436,239025,20000,149128,48907,13000,51434,53025,6000,0
0,31,30000,29493,19433,3200,18782,19006,0,21251,19637,0,0
1,39,150000,214450,147280,5180,150000,0,5000,0,-5000,0,0
2,31,60000,35369,35320,1027,0,0,0,0,0,0,1
0,24,80000,77615,77303,3100,66396,55639,2586,58390,56873,2500,0
2,44,280000,186149,181779,0,192189,195517,15000,195874,199250,15000,1
8,46,20000,21075,20795,0,20206,19617,0,18148,18737,0,0
-2,32,270000,0,0,0,1100,300,1100,-200,-200,0,0
0,26,240000,14348,7500,1000,7816,7500,7816,14497,7500,500,0
0,22,20000,20137,20179,1300,18067,18666,1301,19547,19115,1600,0
1,42,450000,-200,-200,0,0,42000,200,0,0,0,1
0,33,10000,8177,9131,2500,9669,7624,1145,6857,8049,1500,0
-2,39,280000,2082,3557,3597,5623,5400,5672,3526,3866,3519,1
0,27,290000,13820,15614,2000,16293,7760,1300,0,2000,0,0
0,28,190000,46923,48666,2500,49347,50386,2000,34412,43883,2000,1
0,23,80000,53261,38091,4500,19744,14556,2011,1460,0,0,0
-1,28,280000,427,298,0,1179,1714,1179,1047,2875,1000,0
-2,33,160000,14150,8106,8106,12431,12145,12431,7957,13391,1905,0
0,40,90000,42856,44925,3114,0,787,0,0,1457,0,1
-1,37,140000,1034,40000,40000,0,0,0,510,0,0,0
0,22,50000,5137,5960,1300,6270,6000,1000,390,5810,1170,0
0,32,40000,24114,25417,2000,28777,29107,4110,30456,29693,0,0
0,43,130000,130067,129385,5540,96775,98071,4403,100124,97743,3681,0
0,27,70000,61611,62711,3011,63695,63926,3095,59480,67361,2258,0
0,35,30000,25078,25538,1500,25880,25873,1387,26918,26157,2000,0
1,35,100000,97002,102698,8200,97997,103384,0,101492,97266,0,0
2,30,20000,5766,7511,2000,7678,7318,500,7598,7458,0,1
2,34,30000,99568,32326,33000,31840,37075,33000,36904,37662,3095,0
0,34,20000,12857,14183,1541,14890,15642,1248,17113,16387,1000,1
2,28,100000,96193,82342,3600,81967,82177,3800,79261,78840,3000,1
2,25,30000,2400,2400,0,2400,2400,0,1800,2400,0,1
0,41,320000,97797,99672,4520,101953,102284,5050,105859,104090,3510,0
2,42,90000,64762,63164,0,32789,31641,2900,28306,29240,1300,1
2,40,190000,145613,156765,15000,159386,161870,6600,169928,165725,7000,1
0,28,200000,71989,122129,52129,147936,149573,30000,156323,152574,10000,0
-1,31,300000,3345,1083,1087,4339,7423,4355,2508,4059,4141,0
-1,56,30000,29033,17013,1283,7024,7024,7024,7024,7024,7024,0
0,45,110000,26650,20787,1532,20566,21158,2000,22158,22141,2000,0
-2,29,230000,0,0,0,1024,0,1024,0,0,0,0
0,35,230000,4259,5432,1250,6182,0,1000,0,0,0,0
0,28,310000,106468,108955,8000,112374,54762,6000,57170,58189,5000,0
0,40,320000,247276,241167,10000,238196,231580,10000,235837,229683,8000,0
-1,47,360000,1548,-32,0,177639,174397,177671,4125,4852,10007,0
-1,41,20000,780,0,0,732,642,732,643,1252,1000,1
0,27,170000,162671,166202,7500,161973,167201,6000,171863,161327,6200,0
0,40,140000,123049,125616,4310,129695,130735,5913,136287,133467,4767,0
0,32,80000,51372,51872,1853,47593,43882,1700,42527,42256,1500,0
0,35,150000,60015,72227,20000,51364,54340,30000,2129,0,0,0
-1,27,170000,1170,780,0,0,0,0,0,0,0,0
2,29,200000,159398,156955,6163,132144,119136,4530,125021,122211,5000,1
0,30,70000,55664,59529,5800,57571,57871,0,59329,60872,2500,0
-2,37,320000,43528,498,500,429,14257,431,2967,5417,5028,0
-2,29,150000,0,0,0,0,0,0,0,0,0,0
0,34,50000,27966,28539,1267,11597,6611,1553,7570,7349,1000,0
-1,34,90000,8792,7500,0,0,0,0,0,0,0,0
-2,41,280000,28026,41302,41346,51500,35752,52110,13969,3955,4437,0
0,31,300000,43610,43280,1655,36156,30305,1797,561,30155,500,0
-2,40,400000,0,8235,8235,0,0,0,0,1524,385,0
-1,27,200000,5780,105,105,105,0,105,8588,7384,1304,0
0,22,10000,8109,9778,2000,8259,0,1036,0,0,0,1
1,30,50000,52515,51424,0,49967,20036,0,37615,20076,1600,1
1,22,30000,22582,26518,4600,25814,25110,0,26357,24569,2500,0
-1,26,50000,15448,16392,1500,18096,18425,2000,19060,18619,1000,1
1,38,50000,58102,59011,2500,56272,53663,2500,50616,51507,2000,0
1,46,30000,12289,11806,0,13268,12758,1970,14673,13549,0,0
0,24,20000,10476,7279,1000,688,688,688,1320,688,0,0
0,49,20000,16326,17497,1441,18456,18424,1400,10000,18800,0,0
0,49,50000,17681,18249,1611,18054,18569,2000,18088,19152,2000,0
0,42,30000,47912,25023,1755,25768,26410,1500,46254,27960,2000,0
1,30,360000,18886,14249,0,3821,2404,3828,0,319,0,0
1,42,170000,0,1690,1690,0,0,0,4750,0,0,0
-2,31,400000,203,767,770,664,1250,667,2174,-10,0,0
0,49,50000,34962,32275,1613,31253,32014,2000,29645,33573,1064,0
0,27,160000,80964,80337,4000,82182,82586,4000,87049,85145,2500,0
0,33,70000,69418,68943,2382,38783,3758,2025,0,1261,1651,1
1,35,150000,0,0,0,0,0,0,0,0,0,0
0,48,80000,45174,41885,3000,42832,23799,3413,27236,11723,2000,0
0,22,30000,23892,28459,5300,25499,25778,0,30520,28708,0,0
0,22,10000,7960,9649,2000,8518,8628,1000,5033,9293,2500,1
1,27,180000,0,3338,3338,3333,3333,3333,3333,3333,3333,0
-1,47,320000,9192,13920,13942,4022,316,4022,316,8420,516,0
0,34,80000,25935,27210,2000,28783,30003,2338,31401,29385,0,0
0,45,10000,7139,8416,1400,9815,9508,1700,10192,9754,200,1
-1,39,360000,12865,4462,4484,19560,8894,19623,998,5329,9004,0
-2,33,450000,-14,2568,2582,-387,-387,0,113,-387,2515,0
0,29,330000,49549,133957,90000,128212,79407,3000,49880,8875,519,0
-1,29,60000,546,255,0,464,1173,500,1023,732,0,1
0,26,50000,9935,11029,1234,12795,9983,2000,7666,10884,361,0
0,38,200000,152856,156104,6000,158279,161934,5000,168802,165447,10000,0
1,34,120000,1278,639,0,621,-18,621,-18,-18,0,0
-1,37,160000,316,316,316,0,316,0,0,632,316,0
0,57,110000,46132,41050,2306,40091,40659,2111,30900,38529,0,0
-2,50,70000,27345,-1041,1041,17571,17920,18862,18659,18296,690,0
0,28,150000,101593,101886,4000,101441,100829,4032,96704,101913,3050,0
0,31,610000,142764,126606,6540,67887,58397,2100,105965,105301,2000,0
0,25,110000,92849,94766,4346,93894,85723,4075,84011,86443,3202,0
2,25,80000,17330,19258,3000,23416,22768,4790,23718,23243,2000,1
0,33,170000,109863,79574,4380,78440,80141,3000,84237,81862,4500,0
-1,30,110000,1064,2001,2007,3796,0,3796,0,0,0,0
0,51,140000,56764,57950,2115,57668,55024,2004,55744,55883,2132,0
0,51,70000,43048,43257,3000,44115,41112,4000,40150,39922,5000,0
-2,46,260000,29484,28592,10000,16869,12713,3000,12532,10420,12151,0
0,38,170000,21310,22957,2000,24266,25556,2000,34434,29949,5000,0
0,34,50000,10821,11877,1221,13656,14949,2000,16826,16567,4000,0
0,34,300000,280823,275303,11000,271952,193403,12000,191069,187562,5500,1
2,31,150000,390,390,390,390,4825,390,780,5202,0,1
8,25,50000,37647,37102,0,36238,36374,0,34365,35229,3000,1
1,26,50000,0,0,0,1756,2719,1756,5176,4049,2000,0
2,25,90000,84710,87334,4000,87862,18889,3258,73568,-783,0,0
0,26,50000,48036,46787,2100,42011,19147,1227,20041,2845,649,1
-1,43,500000,43346,43976,4006,39032,29092,2383,11590,22725,1572,0
-1,36,470000,873,1593,1005,1518,285,1000,2100,688,1014,0
0,58,230000,110163,112499,5600,114837,116400,5700,51083,45643,0,0
0,26,140000,4113,6030,2000,16025,24616,16025,20047,19458,1000,0
2,30,230000,9636,10152,1222,1817,-828,1837,12663,6153,2959,1
0,31,420000,25103,21330,1509,16024,9603,1067,64507,2131,2324,0
0,24,30000,31319,31181,1564,31540,31016,1800,30528,30531,3000,0
1,52,50000,43343,43360,1300,23417,21969,1400,18711,21179,900,1
-1,24,140000,197,0,0,0,233,0,0,0,0,0
-1,35,260000,7967,67650,67650,6000,0,6000,85962,88348,25000,0
-1,29,90000,19450,3123,0,2121,3113,3509,0,0,0,0
0,33,240000,240878,233838,10000,238067,242579,11000,233710,238245,8000,0
-1,35,510000,2115,2116,1117,5560,4535,4560,1116,3488,2115,0
0,35,110000,81665,46070,2460,34419,36829,2000,40434,38080,5000,0
-1,28,210000,11442,3738,3738,7526,10217,7526,8114,11737,27760,0
-1,40,220000,158,0,0,0,0,0,612,0,1863,0
-2,35,200000,2257,4261,4266,1265,2473,1667,0,0,0,0
-1,53,360000,10733,15206,15206,15000,9744,15032,8123,11114,8736,0
-1,44,260000,316,316,316,316,316,316,466,316,316,0
0,33,20000,11026,9535,1174,10510,10472,1149,10101,10140,458,0
0,32,120000,113869,116110,5498,111978,112822,5500,117949,114969,4003,0
-1,33,50000,7363,5180,39,31902,11044,32013,0,0,0,0
1,26,60000,29649,21657,0,28736,42733,8000,37993,46404,0,0
-2,26,200000,12716,16164,16244,1954,5297,1963,3393,1483,2994,0
-1,26,20000,1438,1261,1261,451,-810,451,1320,-420,0,0
2,32,50000,47858,49223,2500,42589,639,3000,2312,4639,2000,1
1,31,50000,0,0,0,190,0,190,32851,36059,2420,0
0,29,230000,40732,44563,5000,42804,44020,0,34672,41278,3000,0
-1,27,50000,819,3003,2184,1677,1177,5,1085,1313,0,0
2,28,100000,79580,81493,3790,82759,83609,3200,87096,85325,3280,1
1,42,210000,0,0,0,2490,0,2490,0,0,0,1
0,32,230000,87764,73526,2630,72376,76870,2614,76645,75211,2800,1
1,26,500000,31421,22150,22157,0,0,0,0,0,0,0
-1,38,370000,929,328,328,0,1539,0,0,1815,0,0
-1,35,230000,2648,191,200,1947,11674,1950,32519,16160,6000,0
0,29,80000,11894,12287,1284,12407,14360,1047,4129,14657,1000,0
-1,29,60000,55064,57833,5000,9479,0,1033,0,0,0,0
1,51,30000,25382,26480,1800,25761,25964,0,27249,26507,967,0
1,27,70000,-54,273,600,19,-254,19,1096,-527,0,0
-1,32,410000,5335,5369,5400,-281,-281,0,-281,-281,0,0
1,40,280000,-288,-288,0,-288,-288,0,2124,-288,0,0
0,34,50000,46750,48317,2320,48282,18299,1282,20329,19323,1114,0
0,30,100000,97062,74352,2800,75004,76705,2700,80347,78168,3200,0
-2,29,230000,0,0,0,0,0,0,0,0,0,0
0,22,50000,13801,9549,1372,5385,7781,1275,0,0,0,0
2,48,100000,15355,17949,3164,18158,18365,800,18147,17932,3000,0
0,35,210000,37148,35754,2000,34232,32331,2000,28012,30337,2000,0
-1,37,400000,385,12695,13032,1290,0,1290,3058,0,3768,0
4,25,20000,20610,20005,0,19331,19333,0,16314,17363,0,1
-1,44,50000,2000,780,780,0,7472,0,11104,10174,1000,0
-1,28,230000,6666,6666,6666,0,0,0,0,0,0,0
0,29,220000,31037,6244,3050,0,0,0,0,0,0,0
0,36,300000,25239,25001,1713,20800,0,1000,65755,0,3000,0
1,23,80000,998,6858,6861,1879,1145,11,3703,7328,426,0
0,36,20000,16754,18873,2400,19862,19245,1600,19953,20532,0,1
0,26,190000,31061,32129,1750,33142,33726,1720,35171,35758,1400,0
0,37,160000,2694,38433,35888,38870,28574,1325,28021,27268,426,0
0,44,120000,70096,76446,8100,73732,12329,0,0,12329,0,0
